1 סאזא - ףכüענא, 28.9.2016, 17:21
Diameter[mm] 2.000e+01  Thickness[mm] 1.250e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [°C]=1.5000e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'  	 Eps'' 	 Sig' [S/cm]	 Sig'' [S/cm]	 Zp' [Ohms]	 Zp'' [Ohms]	 Modulus'  	 Modulus''  
3.01068e+02	4.74941e+00	1.66692e+01	2.79196e-09	-6.27996e-10	1.42512e+06	5.00181e+06	1.58092e-02	5.54864e-02
2.23014e+02	4.90545e+00	2.21983e+01	2.75411e-09	-4.84542e-10	1.44471e+06	6.53764e+06	9.49143e-03	4.29510e-02
1.65195e+02	5.06436e+00	2.96658e+01	2.72636e-09	-3.73525e-10	1.45941e+06	8.54887e+06	5.59161e-03	3.27543e-02
1.22367e+02	5.22124e+00	3.97184e+01	2.70386e-09	-2.87364e-10	1.47155e+06	1.11942e+07	3.25349e-03	2.47495e-02
1.00000e+02	5.32869e+00	4.83714e+01	2.69102e-09	-2.40816e-10	1.47857e+06	1.34218e+07	2.25012e-03	2.04255e-02
7.40741e+01	5.49037e+00	6.49437e+01	2.67629e-09	-1.85045e-10	1.48672e+06	1.75858e+07	1.29251e-03	1.52887e-02
5.48697e+01	5.65705e+00	8.72916e+01	2.66461e-09	-1.42158e-10	1.49323e+06	2.30414e+07	7.39307e-04	1.14079e-02
4.06442e+01	5.83540e+00	1.17427e+02	2.65518e-09	-1.09335e-10	1.49853e+06	3.01551e+07	4.22150e-04	8.49498e-03
3.01068e+01	6.07475e+00	1.57799e+02	2.64301e-09	-8.49979e-11	1.50543e+06	3.91055e+07	2.43599e-04	6.32779e-03
2.23013e+01	6.31044e+00	2.12588e+02	2.63755e-09	-6.58857e-11	1.50855e+06	5.08206e+07	1.39508e-04	4.69978e-03
1.65195e+01	6.60287e+00	2.86512e+02	2.63311e-09	-5.14917e-11	1.51109e+06	6.55693e+07	8.03929e-05	3.48841e-03
1.22367e+01	6.95655e+00	3.86209e+02	2.62915e-09	-4.05497e-11	1.51337e+06	8.40182e+07	4.66239e-05	2.58843e-03
1.00000e+01	7.26168e+00	4.72034e+02	2.62605e-09	-3.48353e-11	1.51516e+06	9.84904e+07	3.25827e-05	2.11799e-03
7.40741e+00	7.85052e+00	6.36287e+02	2.62210e-09	-2.82305e-11	1.51744e+06	1.22989e+08	1.93877e-05	1.57138e-03
5.48697e+00	8.67117e+00	8.57824e+02	2.61854e-09	-2.34166e-11	1.51950e+06	1.50321e+08	1.17825e-05	1.16562e-03
4.06442e+00	9.82634e+00	1.15625e+03	2.61444e-09	-1.99576e-11	1.52188e+06	1.79077e+08	7.34952e-06	8.64804e-04
3.01068e+00	1.15246e+01	1.55814e+03	2.60976e-09	-1.76279e-11	1.52461e+06	2.06129e+08	4.74667e-06	6.41755e-04
2.23013e+00	1.39170e+01	2.10003e+03	2.60547e-09	-1.60259e-11	1.52712e+06	2.30438e+08	3.15555e-06	4.76163e-04
1.65195e+00	1.72586e+01	2.83036e+03	2.60117e-09	-1.49421e-11	1.52965e+06	2.50857e+08	2.15430e-06	3.53298e-04
1.22367e+00	2.22647e+01	3.81335e+03	2.59597e-09	-1.44761e-11	1.53271e+06	2.62512e+08	1.53105e-06	2.62228e-04
1.00000e+00	2.65428e+01	4.65682e+03	2.59071e-09	-1.42101e-11	1.53582e+06	2.69454e+08	1.22392e-06	2.14732e-04
1.00000e+00	2.62362e+01	4.64864e+03	2.58616e-09	-1.40395e-11	1.53853e+06	2.72603e+08	1.21404e-06	2.15110e-04
7.40741e-01	3.53911e+01	6.25711e+03	2.57851e-09	-1.41724e-11	1.54309e+06	2.72816e+08	9.03927e-07	1.59813e-04
5.48697e-01	4.92955e+01	8.41712e+03	2.56936e-09	-1.47424e-11	1.54858e+06	2.64418e+08	6.95770e-07	1.18801e-04
4.06442e-01	6.80248e+01	1.13134e+04	2.55812e-09	-1.51553e-11	1.55539e+06	2.58681e+08	5.31452e-07	8.83875e-05
3.01068e-01	9.39199e+01	1.51874e+04	2.54377e-09	-1.55633e-11	1.56416e+06	2.52935e+08	4.07167e-07	6.58414e-05
2.23014e-01	1.31031e+02	2.03566e+04	2.52560e-09	-1.61327e-11	1.57542e+06	2.44752e+08	3.16189e-07	4.91222e-05
1.65195e-01	1.84140e+02	2.72242e+04	2.50197e-09	-1.68310e-11	1.59030e+06	2.35118e+08	2.48438e-07	3.67304e-05
1.22367e-01	2.60563e+02	3.63062e+04	2.47157e-09	-1.76699e-11	1.60986e+06	2.24313e+08	1.97664e-07	2.75421e-05
1.00000e-01	3.29935e+02	4.38001e+04	2.43671e-09	-1.82995e-11	1.63289e+06	2.16772e+08	1.71970e-07	2.28297e-05
